,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
5413,Address: 636 Vermont Street,San FranciscoSales price: 1620000Sales date: 01/26/2015Bedrooms: 0Square feet: 2723Lot size: 2495,636 Vermont St,3,3,2723,01/26/2015,1620000,37.761556,-122.404515,Potrero Hill,7,SingleFamily,1926,1762518,1264000,94107,15149278
5415,Address: 1676 York Street,San FranciscoSales price: 1175000Sales date: 01/26/2015Bedrooms: 2Square feet: 825Lot size: 1750,1676 York St,1.5,2,825,01/26/2015,1175000,37.746629,-122.405838,Bernal Heights,5,SingleFamily,1940,1308883,1214400,94110,15160424
5417,Address: 1131 Shrader Street,San FranciscoSales price: 1400000Sales date: 01/26/2015Bedrooms: 0Square feet: 1564Lot size: 2500,1131 Shrader St,1,2,1564,01/26/2015,1400000,37.764192,-122.451392,Parnassus - Ashbury,5,Condominium,1923,1626096,2111800,94117,79841892
5418,Address: 258 29th Avenue,San FranciscoSales price: 2700000Sales date: 01/26/2015Bedrooms: 4Square feet: 2640Lot size: 3000,258 29th Ave,2,4,2640,01/26/2015,2700000,37.784467,-122.489016,Sea Cliff,8,SingleFamily,1919,2901681,4400200,94121,15090525
5421,Address: 260 King Street #621,San FranciscoSales price: 605000Sales date: 01/23/2015Bedrooms: 1Square feet: 695Lot size: 213232,260 King St UNIT 621,1,1,695,01/23/2015,605000,37.777641,-122.393417,South of Market,3,Condominium,2004,720742,957300,94107,69819750
5424,Address: 555 4th Street #623,San FranciscoSales price: 1100000Sales date: 01/23/2015Bedrooms: 2Square feet: 979Lot size: 63237,555 4th St UNIT 623,2,2,979,01/23/2015,1100000,37.779422,-122.396712,South of Market,5,Condominium,2006,1171242,957300,94107,79846812
5427,Address: 75 Valdez Avenue,San FranciscoSales price: 1420000Sales date: 01/23/2015Bedrooms: 3Square feet: 1366Lot size: 3659,75 Valdez Ave,3,1,6000,01/23/2015,1420000,37.729711,-122.455105,Westwood Park,10,Condominium,1922,2517516,1191600,94112,15139579
5429,Address: 2919 Pacific Avenue #9,San FranciscoSales price: 1465000Sales date: 01/23/2015Bedrooms: 2Square feet: 1125Lot size: 6851,2919 Pacific Ave APT 9,1,2,1125,01/23/2015,1465000,37.79197,-122.44344,Pacific Heights,4,Condominium,1905,1430479,1884400,94115,15081129
5431,Address: 1563 Quesada Avenue,San FranciscoSales price: 650000Sales date: 01/23/2015Bedrooms: 0Square feet: 1196Lot size: 3123,1563 Quesada Ave,1,2,1196,01/23/2015,650000,37.731682,-122.389067,Bayview,6,SingleFamily,1910,641066,719000,94124,15157181
5432,Address: 8 Keystone Way #2A,San FranciscoSales price: 496000Sales date: 01/23/2015Bedrooms: 2Square feet: 744Lot size: 6150,8 Keystone Way APT 2A,1,2,744,01/23/2015,496000,37.72565,-122.462525,Mount Davidson Manor,4,Condominium,1985,585810,1370500,94127,15142202
